subj,session,feedType,trial,length_avg,length_sd,tarCat,respCat,idealCat_avg
idealCat_sd,modelledCat_avg,modelledCat_sd,112101,1,1,1,34.28,0.69,1,1.00,1.00
0,5.000000e-01,1,112101,1,1,2,28.89,0.36,-1,1.00,-1.00
0,1,0,112101,1,1,3,38.85,0.22,1,-1.00,1.00
0,-5.000000e-01,1,112101,1,1,4,28.12,0.56,-1,-1.00,-1.00
0,1,0,112101,1,1,5,6.20,0.24,-1,1.00,-1.00
0,1,0,112101,1,1,6,19.33,0.27,-1,-1.00,-1.00
0,1,0,112101,1,1,7,30.90,0.27,1,-1.00,1.00
0,5.000000e-01,1,112101,1,1,8,17.22,0.37,1,1.00,-1.00
0,1,0,112101,1,1,9,44.66,0.54,1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,10,25.17,0.21,1,1.00,-1.00
0,1,0,112101,1,1,11,25.85,0.62,-1,1.00,-1.00
0,1,0,112101,1,1,12,43.22,0.27,1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,13,22.01,0.52,1,1.00,-1.00
0,1,0,112101,1,1,14,32.29,0.20,1,1.00,1.00
0,5.000000e-01,1,112101,1,1,15,28.47,0.36,-1,1.00,-1.00
0,1,0,112101,1,1,16,40.87,0.19,-1,-1.00,1.00
0,-5.000000e-01,1,112101,1,1,17,35.04,0.57,1,-1.00,1.00
0,5.000000e-01,1,112101,1,1,18,25.90,0.57,-1,1.00,-1.00
0,1,0,112101,1,1,19,31.20,0.55,1,1.00,1.00
0,5.000000e-01,1,112101,1,1,20,14.20,0.59,-1,1.00,-1.00
0,1,0,112101,1,1,21,28.85,0.27,-1,-1.00,-1.00
0,1,0,112101,1,1,22,45.88,0.93,1,-1.00,1.00
0,-5.000000e-01,1,112101,1,1,23,44.15,0.48,1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,24,23.12,0.26,1,-1.00,-1.00
0,1,0,112101,1,1,25,23.35,0.75,-1,1.00,-1.00
0,1,0,112101,1,1,26,36.94,0.54,-1,-1.00,1.00
0,0,1.154701e+00,112101,1,1,27,20.65,0.11,1,-1.00,-1.00
0,1,0,112101,1,1,28,14.18,0.40,-1,-1.00,-1.00
0,1,0,112101,1,1,29,40.85,0.65,1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,30,30.04,0.39,-1,-1.00,-1.00
0,5.000000e-01,1,112101,1,1,31,44.29,0.69,1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,32,32.11,0.29,-1,-1.00,1.00
0,5.000000e-01,1,112101,1,1,33,43.12,0.33,-1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,34,37.95,0.40,1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,35,38.22,0.33,-1,-1.00,1.00
0,-5.000000e-01,1,112101,1,1,36,24.63,0.47,-1,1.00,-1.00
0,1,0,112101,1,1,37,21.14,0.51,-1,1.00,-1.00
0,1,0,112101,1,1,38,45.21,0.32,-1,-1.00,1.00
0,-5.000000e-01,1,112101,1,1,39,27.62,0.11,-1,1.00,-1.00
0,1,0,112101,1,1,40,44.89,0.81,1,1.00,1.00
0,-5.000000e-01,1,112101,1,1,41,13.31,0.57,-1,1.00,-1.00
0,1,0,112101,1,1,42,41.80,0.63,1,-1.00,1.00
0,-5.000000e-01,1,112101,1,1,43,39.59,0.23,1,-1.00,1.00
0,-5.000000e-01,1,112101,1,1,44,37.29,0.38,1,1.00,1.00
