subj,session,feedType,trial,length_avg,length_sd,tarCat,respCat,idealCat,modelledCat_avg,modelledCat_sd,modelledCat_no_forget_avg,modelledCat_no_forget_sd
112101.00,1.00,1.00,1.00,34.03,0.50,1.00,1.00,1.00,0.06,1.00,1.00,0.00
112101.00,1.00,1.00,2.00,29.01,0.46,-1.00,1.00,-1.00,0.52,0.86,-1.00,0.00
112101.00,1.00,1.00,3.00,38.92,0.51,1.00,-1.00,1.00,-0.34,0.95,1.00,0.00
112101.00,1.00,1.00,4.00,28.08,0.50,-1.00,-1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,5.00,6.06,0.52,-1.00,1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,6.00,19.00,0.47,-1.00,-1.00,-1.00,0.92,0.39,-1.00,0.00
112101.00,1.00,1.00,7.00,30.98,0.51,1.00,-1.00,1.00,0.06,1.00,0.64,0.77
112101.00,1.00,1.00,8.00,17.00,0.48,1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,9.00,45.02,0.42,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,10.00,25.08,0.47,1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,11.00,25.95,0.52,-1.00,1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,12.00,43.11,0.53,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,13.00,22.01,0.52,1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,14.00,31.93,0.47,1.00,1.00,1.00,0.08,1.00,0.98,0.20
112101.00,1.00,1.00,15.00,27.99,0.49,-1.00,1.00,-1.00,0.72,0.70,-1.00,0.00
112101.00,1.00,1.00,16.00,41.01,0.49,-1.00,-1.00,1.00,-0.40,0.92,1.00,0.00
112101.00,1.00,1.00,17.00,35.03,0.56,1.00,-1.00,1.00,0.06,1.00,1.00,0.00
112101.00,1.00,1.00,18.00,25.98,0.50,-1.00,1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,19.00,30.95,0.50,1.00,1.00,1.00,0.14,1.00,0.56,0.83
112101.00,1.00,1.00,20.00,13.90,0.45,-1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,21.00,29.03,0.43,-1.00,-1.00,-1.00,0.58,0.82,-1.00,0.00
112101.00,1.00,1.00,22.00,45.96,0.45,1.00,-1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,23.00,44.01,0.46,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,24.00,23.00,0.51,1.00,-1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,25.00,22.95,0.52,-1.00,1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,26.00,37.05,0.43,-1.00,-1.00,1.00,-0.08,1.00,1.00,0.00
112101.00,1.00,1.00,27.00,21.05,0.47,1.00,-1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,28.00,13.99,0.46,-1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,29.00,40.97,0.43,1.00,1.00,1.00,-0.40,0.92,1.00,0.00
112101.00,1.00,1.00,30.00,29.98,0.49,-1.00,-1.00,-1.00,0.36,0.94,-0.76,0.65
112101.00,1.00,1.00,31.00,43.99,0.53,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,32.00,31.98,0.51,-1.00,-1.00,1.00,0.18,0.99,1.00,0.00
112101.00,1.00,1.00,33.00,43.07,0.46,-1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,34.00,37.94,0.50,1.00,1.00,1.00,-0.18,0.99,1.00,0.00
112101.00,1.00,1.00,35.00,37.93,0.44,-1.00,-1.00,1.00,-0.14,1.00,1.00,0.00
112101.00,1.00,1.00,36.00,25.07,0.47,-1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,37.00,20.98,0.48,-1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,38.00,45.04,0.51,-1.00,-1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,39.00,26.99,0.46,-1.00,1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,40.00,45.04,0.56,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,41.00,13.00,0.47,-1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,42.00,41.95,0.50,1.00,-1.00,1.00,-0.40,0.92,1.00,0.00
112101.00,1.00,1.00,43.00,40.03,0.43,1.00,-1.00,1.00,-0.36,0.94,1.00,0.00
112101.00,1.00,1.00,44.00,37.00,0.48,1.00,1.00,1.00,-0.12,1.00,1.00,0.00
112101.00,1.00,1.00,45.00,21.97,0.48,-1.00,-1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,46.00,27.96,0.45,1.00,-1.00,-1.00,0.72,0.70,-1.00,0.00
112101.00,1.00,1.00,47.00,24.00,0.47,-1.00,1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,48.00,19.01,0.51,1.00,1.00,-1.00,0.90,0.44,-1.00,0.00
112101.00,1.00,1.00,49.00,28.99,0.53,1.00,-1.00,-1.00,0.54,0.85,-0.98,0.20
112101.00,1.00,1.00,50.00,17.04,0.52,-1.00,-1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,51.00,29.03,0.42,-1.00,1.00,-1.00,0.62,0.79,-1.00,0.00
112101.00,1.00,1.00,52.00,38.82,0.50,1.00,1.00,1.00,-0.28,0.96,1.00,0.00
112101.00,1.00,1.00,53.00,16.05,0.54,1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,54.00,33.07,0.51,1.00,-1.00,1.00,0.10,1.00,1.00,0.00
112101.00,1.00,1.00,55.00,14.90,0.50,-1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,56.00,20.02,0.46,-1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,57.00,27.99,0.53,-1.00,-1.00,-1.00,0.70,0.72,-1.00,0.00
112101.00,1.00,1.00,58.00,50.08,0.50,1.00,-1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,59.00,48.95,0.50,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,60.00,29.97,0.49,1.00,-1.00,-1.00,0.42,0.91,-0.78,0.63
112101.00,1.00,1.00,61.00,25.03,0.51,1.00,-1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,62.00,12.08,0.53,-1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,63.00,34.99,0.53,-1.00,1.00,1.00,0.04,1.00,1.00,0.00
112101.00,1.00,1.00,64.00,35.05,0.47,1.00,-1.00,1.00,0.06,1.00,1.00,0.00
112101.00,1.00,1.00,65.00,39.97,0.46,1.00,1.00,1.00,-0.34,0.95,1.00,0.00
112101.00,1.00,1.00,66.00,40.06,0.52,1.00,-1.00,1.00,-0.38,0.93,1.00,0.00
112101.00,1.00,1.00,67.00,47.00,0.48,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,68.00,38.03,0.48,1.00,1.00,1.00,-0.18,0.99,1.00,0.00
112101.00,1.00,1.00,69.00,38.94,0.54,1.00,1.00,1.00,-0.24,0.98,1.00,0.00
112101.00,1.00,1.00,70.00,26.04,0.50,1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,71.00,32.10,0.46,-1.00,1.00,1.00,0.14,1.00,1.00,0.00
112101.00,1.00,1.00,72.00,16.96,0.49,-1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,73.00,52.93,0.51,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,74.00,40.11,0.55,-1.00,1.00,1.00,-0.40,0.92,1.00,0.00
112101.00,1.00,1.00,75.00,14.98,0.53,1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,76.00,30.99,0.51,-1.00,1.00,1.00,0.18,0.99,0.64,0.77
112101.00,1.00,1.00,77.00,7.97,0.49,-1.00,-1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,78.00,17.96,0.50,-1.00,-1.00,-1.00,0.84,0.55,-1.00,0.00
112101.00,1.00,1.00,79.00,22.00,0.52,-1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,80.00,35.97,0.50,1.00,-1.00,1.00,-0.02,1.00,1.00,0.00
112101.00,1.00,1.00,81.00,54.99,0.47,1.00,-1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,82.00,13.92,0.45,1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,83.00,24.02,0.53,1.00,1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,84.00,24.99,0.49,-1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,85.00,34.03,0.48,1.00,-1.00,1.00,0.10,1.00,1.00,0.00
112101.00,1.00,1.00,86.00,36.07,0.52,-1.00,1.00,1.00,-0.04,1.00,1.00,0.00
112101.00,1.00,1.00,87.00,51.95,0.51,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,88.00,32.97,0.46,-1.00,1.00,1.00,0.02,1.00,1.00,0.00
112101.00,1.00,1.00,89.00,24.01,0.51,-1.00,-1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,90.00,31.96,0.49,1.00,-1.00,1.00,0.12,1.00,1.00,0.00
112101.00,1.00,1.00,91.00,37.09,0.47,1.00,1.00,1.00,-0.10,1.00,1.00,0.00
112101.00,1.00,1.00,92.00,30.04,0.45,1.00,1.00,-1.00,0.34,0.95,-0.84,0.55
112101.00,1.00,1.00,93.00,19.06,0.50,-1.00,1.00,-1.00,0.90,0.44,-1.00,0.00
112101.00,1.00,1.00,94.00,16.04,0.49,-1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,95.00,32.00,0.54,1.00,-1.00,1.00,0.12,1.00,0.98,0.20
112101.00,1.00,1.00,96.00,10.00,0.51,-1.00,-1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,97.00,45.95,0.53,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,98.00,41.90,0.50,-1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,99.00,47.10,0.46,-1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,100.00,19.96,0.48,1.00,1.00,-1.00,0.86,0.51,-1.00,0.00
112101.00,1.00,1.00,101.00,34.03,0.49,1.00,1.00,1.00,0.10,1.00,1.00,0.00
112101.00,1.00,1.00,102.00,36.03,0.47,1.00,-1.00,1.00,0.02,1.00,1.00,0.00
112101.00,1.00,1.00,103.00,31.01,0.44,-1.00,1.00,1.00,0.18,0.99,0.66,0.76
112101.00,1.00,1.00,104.00,26.96,0.50,-1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,105.00,21.97,0.47,1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,106.00,35.05,0.52,-1.00,-1.00,1.00,0.06,1.00,1.00,0.00
112101.00,1.00,1.00,107.00,27.95,0.48,1.00,1.00,-1.00,0.72,0.70,-1.00,0.00
112101.00,1.00,1.00,108.00,22.92,0.54,1.00,-1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,109.00,51.04,0.49,1.00,-1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,110.00,23.03,0.45,-1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,111.00,27.08,0.49,-1.00,-1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,112.00,30.11,0.45,-1.00,1.00,-1.00,0.34,0.95,-0.74,0.68
112101.00,1.00,1.00,113.00,22.02,0.49,-1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,114.00,31.07,0.46,-1.00,1.00,1.00,0.18,0.99,0.72,0.70
112101.00,1.00,1.00,115.00,32.94,0.44,1.00,1.00,1.00,0.08,1.00,1.00,0.00
112101.00,1.00,1.00,116.00,34.98,0.52,1.00,1.00,1.00,0.04,1.00,1.00,0.00
112101.00,1.00,1.00,117.00,47.02,0.45,1.00,-1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,118.00,31.89,0.49,-1.00,-1.00,1.00,0.12,1.00,1.00,0.00
112101.00,1.00,1.00,119.00,27.06,0.47,1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,120.00,20.02,0.51,-1.00,1.00,-1.00,0.82,0.58,-1.00,0.00
112101.00,1.00,1.00,121.00,10.97,0.46,-1.00,1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,122.00,15.01,0.49,-1.00,-1.00,-1.00,0.74,0.68,-1.00,0.00
112101.00,1.00,1.00,123.00,20.85,0.45,-1.00,-1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,124.00,23.00,0.47,-1.00,-1.00,-1.00,0.78,0.63,-1.00,0.00
112101.00,1.00,1.00,125.00,24.01,0.47,1.00,-1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,126.00,36.91,0.52,-1.00,1.00,1.00,-0.06,1.00,1.00,0.00
112101.00,1.00,1.00,127.00,17.99,0.50,-1.00,-1.00,-1.00,0.88,0.48,-1.00,0.00
112101.00,1.00,1.00,128.00,39.04,0.49,-1.00,1.00,1.00,-0.30,0.96,1.00,0.00
112101.00,1.00,1.00,129.00,39.04,0.50,-1.00,1.00,1.00,-0.24,0.98,1.00,0.00
112101.00,1.00,1.00,130.00,33.92,0.49,-1.00,1.00,1.00,0.12,1.00,1.00,0.00
112101.00,1.00,1.00,131.00,42.08,0.47,1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,132.00,27.01,0.49,1.00,-1.00,-1.00,0.76,0.65,-1.00,0.00
112101.00,1.00,1.00,133.00,32.99,0.54,-1.00,1.00,1.00,0.12,1.00,1.00,0.00
112101.00,1.00,1.00,134.00,8.99,0.49,-1.00,1.00,-1.00,0.80,0.60,-1.00,0.00
112101.00,1.00,1.00,135.00,43.96,0.48,-1.00,1.00,1.00,-0.42,0.91,1.00,0.00
112101.00,1.00,1.00,136.00,29.11,0.47,1.00,1.00,-1.00,0.52,0.86,-1.00,0.00
112101.00,1.00,1.00,137.00,29.02,0.53,1.00,1.00,-1.00,0.58,0.82,-1.00,0.00
112101.00,1.00,1.00,138.00,38.03,0.53,1.00,1.00,1.00,-0.20,0.98,1.00,0.00
