subj,session,feedType,trial,length_avg,length_sd,tarCat,respCat,idealCat,modelledCat_avg,modelledCat_sd
112101.00,1.00,1.00,1.00,34.00,0.10,1.00,1.00,1.00,0.02,1.00
112101.00,1.00,1.00,2.00,29.00,0.10,-1.00,1.00,-1.00,0.48,0.88
112101.00,1.00,1.00,3.00,39.00,0.10,1.00,-1.00,1.00,-0.51,0.86
112101.00,1.00,1.00,4.00,28.00,0.10,-1.00,-1.00,-1.00,0.72,0.69
112101.00,1.00,1.00,5.00,6.00,0.10,-1.00,1.00,-1.00,0.85,0.52
112101.00,1.00,1.00,6.00,19.00,0.10,-1.00,-1.00,-1.00,0.79,0.61
112101.00,1.00,1.00,7.00,31.00,0.10,1.00,-1.00,1.00,0.23,0.97
112101.00,1.00,1.00,8.00,17.00,0.09,1.00,1.00,-1.00,0.67,0.75
112101.00,1.00,1.00,9.00,45.00,0.10,1.00,1.00,1.00,-0.56,0.83
112101.00,1.00,1.00,10.00,25.00,0.10,1.00,1.00,-1.00,0.69,0.72
112101.00,1.00,1.00,11.00,26.00,0.10,-1.00,1.00,-1.00,0.73,0.69
112101.00,1.00,1.00,12.00,43.00,0.10,1.00,1.00,1.00,-0.58,0.81
112101.00,1.00,1.00,13.00,22.00,0.10,1.00,1.00,-1.00,0.71,0.70
112101.00,1.00,1.00,14.00,32.00,0.10,1.00,1.00,1.00,0.24,0.97
112101.00,1.00,1.00,15.00,28.00,0.10,-1.00,1.00,-1.00,0.74,0.67
112101.00,1.00,1.00,16.00,41.00,0.10,-1.00,-1.00,1.00,-0.54,0.84
112101.00,1.00,1.00,17.00,35.00,0.10,1.00,-1.00,1.00,0.01,1.00
112101.00,1.00,1.00,18.00,26.00,0.10,-1.00,1.00,-1.00,0.73,0.69
112101.00,1.00,1.00,19.00,31.00,0.10,1.00,1.00,1.00,0.23,0.97
112101.00,1.00,1.00,20.00,14.00,0.10,-1.00,1.00,-1.00,0.67,0.74
112101.00,1.00,1.00,21.00,29.00,0.10,-1.00,-1.00,-1.00,0.50,0.87
112101.00,1.00,1.00,22.00,46.00,0.10,1.00,-1.00,1.00,-0.56,0.83
112101.00,1.00,1.00,23.00,44.00,0.10,1.00,1.00,1.00,-0.56,0.83
112101.00,1.00,1.00,24.00,23.00,0.10,1.00,-1.00,-1.00,0.71,0.70
112101.00,1.00,1.00,25.00,23.00,0.10,-1.00,1.00,-1.00,0.71,0.70
112101.00,1.00,1.00,26.00,37.00,0.10,-1.00,-1.00,1.00,-0.06,1.00
112101.00,1.00,1.00,27.00,21.00,0.10,1.00,-1.00,-1.00,0.71,0.70
112101.00,1.00,1.00,28.00,14.00,0.10,-1.00,-1.00,-1.00,0.67,0.74
112101.00,1.00,1.00,29.00,41.00,0.10,1.00,1.00,1.00,-0.54,0.84
112101.00,1.00,1.00,30.00,29.99,0.10,-1.00,-1.00,-1.00,0.45,0.90
112101.00,1.00,1.00,31.00,44.00,0.10,1.00,1.00,1.00,-0.56,0.83
112101.00,1.00,1.00,32.00,32.00,0.10,-1.00,-1.00,1.00,0.24,0.97
112101.00,1.00,1.00,33.00,43.00,0.10,-1.00,1.00,1.00,-0.57,0.82
