subj,session,feedType,trial,length_avg,length_sd,tarCat,respCat,idealCat,modelledCat_avg,modelledCat_sd,modelledCat_no_forget_avg,modelledCat_no_forget_sd
112101.00,1.00,1.00,1.00,34.01,0.10,1.00,1.00,1.00,1.00,0.00,-0.30,0.96
112101.00,1.00,1.00,2.00,29.00,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,3.00,39.00,0.10,1.00,-1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,4.00,28.00,0.10,-1.00,-1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,5.00,6.01,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,6.00,19.00,0.09,-1.00,-1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,7.00,31.01,0.11,1.00,-1.00,1.00,1.00,0.00,-0.20,0.98
112101.00,1.00,1.00,8.00,16.98,0.11,1.00,1.00,-1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,9.00,45.00,0.09,1.00,1.00,1.00,1.00,0.00,0.92,0.39
112101.00,1.00,1.00,10.00,25.00,0.09,1.00,1.00,-1.00,1.00,0.00,-0.94,0.34
112101.00,1.00,1.00,11.00,26.00,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,12.00,43.00,0.10,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,13.00,22.00,0.10,1.00,1.00,-1.00,1.00,0.00,-0.38,0.93
112101.00,1.00,1.00,14.00,32.00,0.10,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,15.00,28.00,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,16.00,41.01,0.10,-1.00,-1.00,1.00,-1.00,0.00,0.72,0.70
112101.00,1.00,1.00,17.00,35.01,0.10,1.00,-1.00,1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,18.00,25.99,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,19.00,30.99,0.10,1.00,1.00,1.00,1.00,0.00,-0.28,0.96
112101.00,1.00,1.00,20.00,14.00,0.09,-1.00,1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,21.00,29.01,0.09,-1.00,-1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,22.00,46.00,0.09,1.00,-1.00,1.00,1.00,0.00,0.32,0.95
112101.00,1.00,1.00,23.00,44.01,0.10,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,24.00,23.01,0.11,1.00,-1.00,-1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,25.00,23.00,0.10,-1.00,1.00,-1.00,-1.00,0.00,0.98,0.20
112101.00,1.00,1.00,26.00,37.00,0.11,-1.00,-1.00,1.00,-1.00,0.00,0.28,0.96
112101.00,1.00,1.00,27.00,21.01,0.09,1.00,-1.00,-1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,28.00,13.99,0.09,-1.00,-1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,29.00,41.00,0.09,1.00,1.00,1.00,1.00,0.00,0.74,0.68
112101.00,1.00,1.00,30.00,30.00,0.10,-1.00,-1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,31.00,44.00,0.09,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,32.00,32.00,0.10,-1.00,-1.00,1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,33.00,42.99,0.09,-1.00,1.00,1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,34.00,38.01,0.11,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,35.00,38.00,0.10,-1.00,-1.00,1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,36.00,25.03,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,37.00,21.02,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,38.00,44.99,0.10,-1.00,-1.00,1.00,-1.00,0.00,0.92,0.39
112101.00,1.00,1.00,39.00,27.01,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,40.00,45.00,0.09,1.00,1.00,1.00,1.00,0.00,0.92,0.39
112101.00,1.00,1.00,41.00,13.00,0.10,-1.00,1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,42.00,42.00,0.11,1.00,-1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,43.00,39.99,0.10,1.00,-1.00,1.00,1.00,0.00,0.78,0.63
112101.00,1.00,1.00,44.00,37.00,0.11,1.00,1.00,1.00,1.00,0.00,0.16,0.99
112101.00,1.00,1.00,45.00,21.99,0.11,-1.00,-1.00,-1.00,-1.00,0.00,-0.40,0.92
112101.00,1.00,1.00,46.00,28.00,0.11,1.00,-1.00,-1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,47.00,24.00,0.10,-1.00,1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,48.00,18.99,0.10,1.00,1.00,-1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,49.00,28.99,0.11,1.00,-1.00,-1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,50.00,17.00,0.09,-1.00,-1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,51.00,29.00,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,52.00,39.01,0.09,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,53.00,15.99,0.09,1.00,1.00,-1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,54.00,32.99,0.12,1.00,-1.00,1.00,1.00,0.00,-0.98,0.20
112101.00,1.00,1.00,55.00,15.00,0.10,-1.00,-1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,56.00,20.02,0.10,-1.00,1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,57.00,28.00,0.09,-1.00,-1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,58.00,50.00,0.09,1.00,-1.00,1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,59.00,49.00,0.10,1.00,1.00,1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,60.00,30.00,0.10,1.00,-1.00,-1.00,1.00,0.00,0.98,0.20
112101.00,1.00,1.00,61.00,25.01,0.10,1.00,-1.00,-1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,62.00,11.99,0.09,-1.00,-1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,63.00,35.00,0.09,-1.00,1.00,1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,64.00,35.01,0.10,1.00,-1.00,1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,65.00,39.98,0.09,1.00,1.00,1.00,1.00,0.00,0.76,0.65
112101.00,1.00,1.00,66.00,40.01,0.10,1.00,-1.00,1.00,1.00,0.00,0.78,0.63
112101.00,1.00,1.00,67.00,47.01,0.09,1.00,1.00,1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,68.00,37.99,0.10,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,69.00,39.00,0.12,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,70.00,25.99,0.10,1.00,-1.00,-1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,71.00,32.01,0.09,-1.00,1.00,1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,72.00,17.01,0.09,-1.00,-1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,73.00,53.01,0.09,1.00,1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,74.00,40.00,0.10,-1.00,1.00,1.00,-1.00,0.00,0.78,0.63
112101.00,1.00,1.00,75.00,15.01,0.09,1.00,-1.00,-1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,76.00,31.01,0.10,-1.00,1.00,1.00,-1.00,0.00,-0.26,0.97
112101.00,1.00,1.00,77.00,8.01,0.10,-1.00,-1.00,-1.00,-1.00,0.00,1.00,0.00
112101.00,1.00,1.00,78.00,17.99,0.10,-1.00,-1.00,-1.00,-1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,79.00,21.99,0.10,-1.00,1.00,-1.00,-1.00,0.00,-0.38,0.93
112101.00,1.00,1.00,80.00,36.00,0.12,1.00,-1.00,1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,81.00,55.00,0.10,1.00,-1.00,1.00,1.00,0.00,-1.00,0.00
112101.00,1.00,1.00,82.00,13.99,0.11,1.00,-1.00,-1.00,1.00,0.00,1.00,0.00
112101.00,1.00,1.00,83.00,23.99,0.10,1.00,1.00,-1.00,1.00,0.00,0.98,0.20
112101.00,1.00,1.00,84.00,25.01,0.09,-1.00,-1.00,-1.00,-1.00,0.00,-0.98,0.20
