subj,session,feedType,trial,length_avg,length_sd,tarCat,respCat,idealCat,modelledCat_avg,modelledCat_sd
112101.00,1.00,1.00,1.00,33.98,0.51,1.00,1.00,1.00,0.99,0.13
112101.00,1.00,1.00,2.00,29.00,0.50,-1.00,1.00,-1.00,-1.00,0.00
112101.00,1.00,1.00,3.00,39.01,0.51,1.00,-1.00,1.00,1.00,0.00
112101.00,1.00,1.00,4.00,28.00,0.51,-1.00,-1.00,-1.00,-1.00,0.00
112101.00,1.00,1.00,5.00,6.01,0.51,-1.00,1.00,-1.00,-1.00,0.09
112101.00,1.00,1.00,6.00,19.00,0.50,-1.00,-1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,7.00,31.01,0.52,1.00,-1.00,1.00,1.00,0.00
112101.00,1.00,1.00,8.00,17.02,0.50,1.00,1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,9.00,45.02,0.51,1.00,1.00,1.00,1.00,0.00
112101.00,1.00,1.00,10.00,25.01,0.50,1.00,1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,11.00,26.02,0.50,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,12.00,42.99,0.51,1.00,1.00,1.00,1.00,0.00
112101.00,1.00,1.00,13.00,22.04,0.50,1.00,1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,14.00,31.98,0.51,1.00,1.00,1.00,1.00,0.06
112101.00,1.00,1.00,15.00,27.97,0.48,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,16.00,40.99,0.48,-1.00,-1.00,1.00,-1.00,0.09
112101.00,1.00,1.00,17.00,34.98,0.50,1.00,-1.00,1.00,1.00,0.06
112101.00,1.00,1.00,18.00,26.02,0.51,-1.00,1.00,-1.00,-1.00,0.09
112101.00,1.00,1.00,19.00,31.01,0.48,1.00,1.00,1.00,1.00,0.00
112101.00,1.00,1.00,20.00,14.01,0.53,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,21.00,28.97,0.49,-1.00,-1.00,-1.00,-1.00,0.09
112101.00,1.00,1.00,22.00,45.99,0.49,1.00,-1.00,1.00,1.00,0.06
112101.00,1.00,1.00,23.00,44.01,0.48,1.00,1.00,1.00,1.00,0.09
112101.00,1.00,1.00,24.00,23.02,0.47,1.00,-1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,25.00,22.99,0.50,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,26.00,37.03,0.51,-1.00,-1.00,1.00,-1.00,0.00
112101.00,1.00,1.00,27.00,21.02,0.49,1.00,-1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,28.00,13.99,0.49,-1.00,-1.00,-1.00,-1.00,0.09
112101.00,1.00,1.00,29.00,40.99,0.50,1.00,1.00,1.00,1.00,0.09
112101.00,1.00,1.00,30.00,29.98,0.50,-1.00,-1.00,-1.00,-1.00,0.00
112101.00,1.00,1.00,31.00,43.98,0.52,1.00,1.00,1.00,1.00,0.09
112101.00,1.00,1.00,32.00,32.00,0.49,-1.00,-1.00,1.00,-1.00,0.06
112101.00,1.00,1.00,33.00,43.00,0.50,-1.00,1.00,1.00,-1.00,0.00
112101.00,1.00,1.00,34.00,38.02,0.50,1.00,1.00,1.00,1.00,0.00
112101.00,1.00,1.00,35.00,38.01,0.49,-1.00,-1.00,1.00,-1.00,0.00
112101.00,1.00,1.00,36.00,24.97,0.50,-1.00,1.00,-1.00,-0.99,0.13
112101.00,1.00,1.00,37.00,21.03,0.51,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,38.00,45.02,0.49,-1.00,-1.00,1.00,-1.00,0.00
112101.00,1.00,1.00,39.00,27.01,0.49,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,40.00,45.02,0.50,1.00,1.00,1.00,1.00,0.06
112101.00,1.00,1.00,41.00,12.99,0.50,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,42.00,42.03,0.50,1.00,-1.00,1.00,1.00,0.06
112101.00,1.00,1.00,43.00,40.01,0.53,1.00,-1.00,1.00,1.00,0.00
112101.00,1.00,1.00,44.00,37.01,0.50,1.00,1.00,1.00,1.00,0.00
112101.00,1.00,1.00,45.00,21.97,0.49,-1.00,-1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,46.00,27.99,0.51,1.00,-1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,47.00,24.00,0.50,-1.00,1.00,-1.00,-0.99,0.11
112101.00,1.00,1.00,48.00,19.02,0.48,1.00,1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,49.00,29.00,0.49,1.00,-1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,50.00,16.99,0.50,-1.00,-1.00,-1.00,-0.99,0.15
112101.00,1.00,1.00,51.00,28.99,0.50,-1.00,1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,52.00,39.01,0.51,1.00,1.00,1.00,1.00,0.09
112101.00,1.00,1.00,53.00,15.98,0.49,1.00,1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,54.00,33.01,0.51,1.00,-1.00,1.00,1.00,0.00
112101.00,1.00,1.00,55.00,15.00,0.50,-1.00,-1.00,-1.00,-1.00,0.06
112101.00,1.00,1.00,56.00,20.02,0.52,-1.00,1.00,-1.00,-1.00,0.00
112101.00,1.00,1.00,57.00,28.02,0.50,-1.00,-1.00,-1.00,-1.00,0.09
112101.00,1.00,1.00,58.00,50.01,0.51,1.00,-1.00,1.00,1.00,0.06
112101.00,1.00,1.00,59.00,49.00,0.50,1.00,1.00,1.00,1.00,0.06
112101.00,1.00,1.00,60.00,29.99,0.50,1.00,-1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,61.00,24.97,0.51,1.00,-1.00,-1.00,1.00,0.00
112101.00,1.00,1.00,62.00,11.99,0.48,-1.00,-1.00,-1.00,-1.00,0.09
112101.00,1.00,1.00,63.00,35.03,0.50,-1.00,1.00,1.00,-1.00,0.00
112101.00,1.00,1.00,64.00,35.01,0.50,1.00,-1.00,1.00,1.00,0.00
