subj	session	variance	catAss	ticks	feedType	phase	trial	length	tarCat	respSE	respRT	respACC	move
112101	1	1	1	2	1	1	1	34	D	D	568	1	13
112101	1	1	1	2	1	1	2	29	A	D	431	0	13
112101	1	1	1	2	1	1	3	39	D	A	595	0	13
112101	1	1	1	2	1	1	4	28	A	A	818	1	13
112101	1	1	1	2	1	1	5	6	A	D	977	0	13
112101	1	1	1	2	1	1	6	19	A	A	458	1	13
112101	1	1	1	2	1	1	7	31	D	A	523	0	13
112101	1	1	1	2	1	1	8	17	D	D	451	1	13
112101	1	1	1	2	1	1	9	45	D	D	379	1	13
112101	1	1	1	2	1	1	10	25	D	D	371	1	13
112101	1	1	1	2	1	1	11	26	A	D	491	0	13
112101	1	1	1	2	1	1	12	43	D	D	290	1	13
112101	1	1	1	2	1	1	13	22	D	D	443	1	13
112101	1	1	1	2	1	1	14	32	D	D	323	1	13
112101	1	1	1	2	1	1	15	28	A	D	459	0	13
112101	1	1	1	2	1	1	16	41	A	A	387	1	13
112101	1	1	1	2	1	1	17	35	D	A	306	0	13
112101	1	1	1	2	1	1	18	26	A	D	371	0	13
112101	1	1	1	2	1	1	19	31	D	D	641	1	13
112101	1	1	1	2	1	1	20	14	A	D	275	0	13
112101	1	1	1	2	1	1	21	29	A	A	715	1	13
112101	1	1	1	2	1	1	22	46	D	A	378	0	13
112101	1	1	1	2	1	1	23	44	D	D	243	1	13
112101	1	1	1	2	1	1	24	23	D	A	1	0	13
112101	1	1	1	2	1	1	25	23	A	D	216	0	13
112101	1	1	1	2	1	1	26	37	A	A	266	1	13
112101	1	1	1	2	1	1	27	21	D	A	362	0	13
112101	1	1	1	2	1	1	28	14	A	A	178	1	13
112101	1	1	1	2	1	1	29	41	D	D	275	1	13
112101	1	1	1	2	1	1	30	30	A	A	284	1	13
112101	1	1	1	2	1	1	31	44	D	D	221	1	13
112101	1	1	1	2	1	1	32	32	A	A	315	1	13
112101	1	1	1	2	1	1	33	43	A	D	267	0	13
112101	1	1	1	2	1	1	34	38	D	D	250	1	13
112101	1	1	1	2	1	1	35	38	A	A	371	1	13
112101	1	1	1	2	1	1	36	25	A	D	530	0	13
112101	1	1	1	2	1	1	37	21	A	D	275	0	13
112101	1	1	1	2	1	1	38	45	A	A	275	1	13
112101	1	1	1	2	1	1	39	27	A	D	282	0	13
112101	1	1	1	2	1	1	40	45	D	D	276	1	13
112101	1	1	1	2	1	1	41	13	A	D	386	0	13
112101	1	1	1	2	1	1	42	42	D	A	291	0	13
112101	1	1	1	2	1	1	43	40	D	A	467	0	13
112101	1	1	1	2	1	1	44	37	D	D	260	1	13
112101	1	1	1	2	1	1	45	22	A	A	251	1	13
112101	1	1	1	2	1	1	46	28	D	A	315	0	13
112101	1	1	1	2	1	1	47	24	A	D	235	0	13
112101	1	1	1	2	1	1	48	19	D	D	267	1	13
112101	1	1	1	2	1	1	49	29	D	A	299	0	13
112101	1	1	1	2	1	1	50	17	A	A	435	1	13
112101	1	1	1	2	1	1	51	29	A	D	499	0	13
112101	1	1	1	2	1	1	52	39	D	D	491	1	13
112101	1	1	1	2	1	1	53	16	D	D	507	1	13
112101	1	1	1	2	1	1	54	33	D	A	506	0	13
112101	1	1	1	2	1	1	55	15	A	A	418	1	13
112101	1	1	1	2	1	1	56	20	A	D	580	0	13
112101	1	1	1	2	1	1	57	28	A	A	297	1	13
112101	1	1	1	2	1	1	58	50	D	A	540	0	13
112101	1	1	1	2	1	1	59	49	D	D	555	1	13
112101	1	1	1	2	1	1	60	30	D	A	675	0	13
112101	1	1	1	2	1	1	61	25	D	A	579	0	13
112101	1	1	1	2	1	1	62	12	A	A	481	1	13
112101	1	1	1	2	1	1	63	35	A	D	555	0	13
112101	1	1	1	2	1	1	64	35	D	A	811	0	13
112101	1	1	1	2	1	1	65	40	D	D	467	1	13
112101	1	1	1	2	1	1	66	40	D	A	547	0	13
112101	1	1	1	2	1	1	67	47	D	D	499	1	13
112101	1	1	1	2	1	1	68	38	D	D	459	1	13
112101	1	1	1	2	1	1	69	39	D	D	555	1	13
112101	1	1	1	2	1	1	70	26	D	A	665	0	13
112101	1	1	1	2	1	1	71	32	A	D	852	0	13
112101	1	1	1	2	1	1	72	17	A	A	540	1	13
112101	1	1	1	2	1	1	73	53	D	D	714	1	13
112101	1	1	1	2	1	1	74	40	A	D	714	0	13
112101	1	1	1	2	1	1	75	15	D	A	667	0	13
112101	1	1	1	2	1	1	76	31	A	D	747	0	13
112101	1	1	1	2	1	1	77	8	A	A	835	1	13
112101	1	1	1	2	1	1	78	18	A	A	955	1	13
112101	1	1	1	2	1	1	79	22	A	D	1099	0	13
112101	1	1	1	2	1	1	80	36	D	A	1027	0	13
112101	1	1	1	2	1	1	81	55	D	A	2594	0	13
112101	1	1	1	2	1	1	82	14	D	A	609	0	13
112101	1	1	1	2	1	1	83	24	D	D	364	1	13
112101	1	1	1	2	1	1	84	25	A	A	1075	1	13
112101	1	1	1	2	1	1	85	34	D	A	882	0	13
112101	1	1	1	2	1	1	86	36	A	D	1658	0	13
112101	1	1	1	2	1	1	87	52	D	D	515	1	13
112101	1	1	1	2	1	1	88	33	A	D	434	0	13
112101	1	1	1	2	1	1	89	24	A	A	538	1	13
112101	1	1	1	2	1	1	90	32	D	A	619	0	13
112101	1	1	1	2	1	1	91	37	D	D	450	1	13
112101	1	1	1	2	1	1	92	30	D	D	516	1	13
112101	1	1	1	2	1	1	93	19	A	D	667	0	13
112101	1	1	1	2	1	1	94	16	A	A	939	1	13
112101	1	1	1	2	1	1	95	32	D	A	1634	0	13
112101	1	1	1	2	1	1	96	10	A	A	1052	1	13
112101	1	1	1	2	1	1	97	46	D	D	881	1	13
112101	1	1	1	2	1	1	98	42	A	D	699	0	13
112101	1	1	1	2	1	1	99	47	A	D	546	0	13
112101	1	1	1	2	1	1	100	20	D	D	642	1	13
112101	1	1	1	2	1	1	101	34	D	D	602	1	13
112101	1	1	1	2	1	1	102	36	D	A	699	0	13
112101	1	1	1	2	1	1	103	31	A	D	650	0	13
112101	1	1	1	2	1	1	104	27	A	D	474	0	13
112101	1	1	1	2	1	1	105	22	D	D	403	1	13
112101	1	1	1	2	1	1	106	35	A	A	395	1	13
112101	1	1	1	2	1	1	107	28	D	D	675	1	13
112101	1	1	1	2	1	1	108	23	D	A	690	0	13
112101	1	1	1	2	1	1	109	51	D	A	762	0	13
112101	1	1	1	2	1	1	110	23	A	D	435	0	13
112101	1	1	1	2	1	1	111	27	A	A	259	1	13
112101	1	1	1	2	1	1	112	30	A	D	467	0	13
112101	1	1	1	2	1	1	113	22	A	D	419	0	13
112101	1	1	1	2	1	1	114	31	A	D	571	0	13
112101	1	1	1	2	1	1	115	33	D	D	275	1	13
112101	1	1	1	2	1	1	116	35	D	D	738	1	13
112101	1	1	1	2	1	1	117	47	D	A	299	0	13
112101	1	1	1	2	1	1	118	32	A	A	291	1	13
112101	1	1	1	2	1	1	119	27	D	A	299	0	13
