subj,session,feedType,trial,length,tarCat,respSE,respRT
112101,1,1,1,34,1,1,568
112101,1,1,2,29,-1,1,431
112101,1,1,3,39,1,-1,595
112101,1,1,4,28,-1,-1,818
112101,1,1,5,6,-1,1,977
112101,1,1,6,19,-1,-1,458
112101,1,1,7,31,1,-1,523
112101,1,1,8,17,1,1,451
112101,1,1,9,45,1,1,379
112101,1,1,10,25,1,1,371
112101,1,1,11,26,-1,1,491
112101,1,1,12,43,1,1,290
112101,1,1,13,22,1,1,443
112101,1,1,14,32,1,1,323
112101,1,1,15,28,-1,1,459
112101,1,1,16,41,-1,-1,387
112101,1,1,17,35,1,-1,306
112101,1,1,18,26,-1,1,371
112101,1,1,19,31,1,1,641
112101,1,1,20,14,-1,1,275
112101,1,1,21,29,-1,-1,715
112101,1,1,22,46,1,-1,378
112101,1,1,23,44,1,1,243
112101,1,1,24,23,1,-1,1
112101,1,1,25,23,-1,1,216
112101,1,1,26,37,-1,-1,266
112101,1,1,27,21,1,-1,362
112101,1,1,28,14,-1,-1,178
112101,1,1,29,41,1,1,275
112101,1,1,30,30,-1,-1,284
112101,1,1,31,44,1,1,221
112101,1,1,32,32,-1,-1,315
112101,1,1,33,43,-1,1,267
112101,1,1,34,38,1,1,250
112101,1,1,35,38,-1,-1,371
112101,1,1,36,25,-1,1,530
112101,1,1,37,21,-1,1,275
112101,1,1,38,45,-1,-1,275
112101,1,1,39,27,-1,1,282
112101,1,1,40,45,1,1,276
112101,1,1,41,13,-1,1,386
112101,1,1,42,42,1,-1,291
112101,1,1,43,40,1,-1,467
112101,1,1,44,37,1,1,260
112101,1,1,45,22,-1,-1,251
112101,1,1,46,28,1,-1,315
112101,1,1,47,24,-1,1,235
112101,1,1,48,19,1,1,267
112101,1,1,49,29,1,-1,299
112101,1,1,50,17,-1,-1,435
112101,1,1,51,29,-1,1,499
112101,1,1,52,39,1,1,491
112101,1,1,53,16,1,1,507
112101,1,1,54,33,1,-1,506
112101,1,1,55,15,-1,-1,418
112101,1,1,56,20,-1,1,580
112101,1,1,57,28,-1,-1,297
112101,1,1,58,50,1,-1,540
112101,1,1,59,49,1,1,555
112101,1,1,60,30,1,-1,675
112101,1,1,61,25,1,-1,579
112101,1,1,62,12,-1,-1,481
112101,1,1,63,35,-1,1,555
112101,1,1,64,35,1,-1,811
112101,1,1,65,40,1,1,467
112101,1,1,66,40,1,-1,547
112101,1,1,67,47,1,1,499
112101,1,1,68,38,1,1,459
112101,1,1,69,39,1,1,555
112101,1,1,70,26,1,-1,665
112101,1,1,71,32,-1,1,852
112101,1,1,72,17,-1,-1,540
112101,1,1,73,53,1,1,714
112101,1,1,74,40,-1,1,714
112101,1,1,75,15,1,-1,667
112101,1,1,76,31,-1,1,747
112101,1,1,77,8,-1,-1,835
112101,1,1,78,18,-1,-1,955
112101,1,1,79,22,-1,1,1099
112101,1,1,80,36,1,-1,1027
112101,1,1,81,55,1,-1,2594
112101,1,1,82,14,1,-1,609
112101,1,1,83,24,1,1,364
112101,1,1,84,25,-1,-1,1075
112101,1,1,85,34,1,-1,882
112101,1,1,86,36,-1,1,1658
112101,1,1,87,52,1,1,515
112101,1,1,88,33,-1,1,434
112101,1,1,89,24,-1,-1,538
112101,1,1,90,32,1,-1,619
112101,1,1,91,37,1,1,450
112101,1,1,92,30,1,1,516
112101,1,1,93,19,-1,1,667
112101,1,1,94,16,-1,-1,939
112101,1,1,95,32,1,-1,1634
112101,1,1,96,10,-1,-1,1052
112101,1,1,97,46,1,1,881
112101,1,1,98,42,-1,1,699
112101,1,1,99,47,-1,1,546
112101,1,1,100,20,1,1,642
112101,1,1,101,34,1,1,602
112101,1,1,102,36,1,-1,699
112101,1,1,103,31,-1,1,650
112101,1,1,104,27,-1,1,474
112101,1,1,105,22,1,1,403
112101,1,1,106,35,-1,-1,395
112101,1,1,107,28,1,1,675
112101,1,1,108,23,1,-1,690
112101,1,1,109,51,1,-1,762
112101,1,1,110,23,-1,1,435
112101,1,1,111,27,-1,-1,259
112101,1,1,112,30,-1,1,467
112101,1,1,113,22,-1,1,419
112101,1,1,114,31,-1,1,571
112101,1,1,115,33,1,1,275
112101,1,1,116,35,1,1,738
112101,1,1,117,47,1,-1,299
112101,1,1,118,32,-1,-1,291
112101,1,1,119,27,1,-1,299
112101,1,1,120,20,-1,1,691
112101,1,1,121,11,-1,1,347
112101,1,1,122,15,-1,-1,274
112101,1,1,123,21,-1,-1,226
112101,1,1,124,23,-1,-1,260
112101,1,1,125,24,1,-1,411
112101,1,1,126,37,-1,1,259
112101,1,1,127,18,-1,-1,331
112101,1,1,128,39,-1,1,522
112101,1,1,129,39,-1,1,498
112101,1,1,130,34,-1,1,442
112101,1,1,131,42,1,1,300
112101,1,1,132,27,1,-1,289
112101,1,1,133,33,-1,1,324
112101,1,1,134,9,-1,1,827
112101,1,1,135,44,-1,1,274
112101,1,1,136,29,1,1,235
112101,1,1,137,29,1,1,379
112101,1,1,138,38,1,1,236
112101,1,1,139,21,-1,-1,306
112101,1,1,140,31,1,-1,380
112101,1,1,141,54,1,-1,298
112101,1,1,142,24,-1,-1,419
112101,1,1,143,34,-1,1,242
112101,1,1,144,16,-1,-1,277
112101,1,1,145,25,-1,1,34
112101,1,1,146,38,-1,-1,211
112101,1,1,147,30,1,-1,195
112101,1,1,148,43,1,-1,235
112101,1,1,149,36,-1,1,67
112101,1,1,150,26,1,-1,283
112101,1,1,151,7,-1,1,51
112101,1,1,152,18,1,1,603
112101,1,1,153,26,-1,1,690
112101,1,1,154,33,1,-1,538
112101,1,1,155,46,-1,1,498
112101,1,1,156,41,1,1,378
112101,1,1,157,36,1,1,578
112101,1,1,158,48,1,-1,636
112101,1,1,159,30,-1,1,731
112101,1,1,160,37,1,1,467
112101,2,1,1,23,-1,-1,829
112101,2,1,2,45,1,-1,734
112101,2,1,3,52,1,1,713
112101,2,1,4,21,-1,-1,746
112101,2,1,5,26,-1,1,796
112101,2,1,6,33,1,1,561
112101,2,1,7,42,1,-1,756
112101,2,1,8,32,-1,1,523
112101,2,1,9,34,1,1,483
112101,2,1,10,24,-1,-1,594
112101,2,1,11,41,1,1,331
112101,2,1,12,46,-1,1,379
112101,2,1,13,47,1,1,498
112101,2,1,14,24,-1,-1,532
112101,2,1,15,32,1,-1,554
112101,2,1,16,39,-1,1,595
112101,2,1,17,49,1,1,315
112101,2,1,18,23,-1,-1,451
112101,2,1,19,46,1,1,282
112101,2,1,20,40,1,1,308
112101,2,1,21,37,1,-1,283
112101,2,1,22,36,-1,1,392
112101,2,1,23,43,1,-1,300
112101,2,1,24,37,1,1,251
112101,2,1,25,30,1,-1,794
112101,2,1,26,23,1,1,619
112101,2,1,27,26,-1,1,500
112101,2,1,28,26,1,-1,291
112101,2,1,29,27,1,1,539
112101,2,1,30,50,1,-1,387
112101,2,1,31,6,-1,-1,667
112101,2,1,32,35,1,1,586
112101,2,1,33,34,1,1,682
112101,2,1,34,23,1,1,420
112101,2,1,35,15,-1,-1,354
112101,2,1,36,41,-1,1,468
112101,2,1,37,28,-1,1,450
112101,2,1,38,37,1,1,315
112101,2,1,39,18,1,-1,498
112101,2,1,40,14,-1,1,788
112101,2,1,41,40,-1,1,475
112101,2,1,42,28,-1,-1,483
112101,2,1,43,19,1,-1,474
112101,2,1,44,37,-1,1,363
112101,2,1,45,19,-1,-1,635
112101,2,1,46,47,-1,-1,559
112101,2,1,47,26,-1,-1,595
112101,2,1,48,23,-1,1,451
112101,2,1,49,32,1,1,475
112101,2,1,50,38,1,-1,499
112101,2,1,51,31,-1,1,395
112101,2,1,52,21,-1,-1,315
112101,2,1,53,7,-1,-1,626
112101,2,1,54,27,1,-1,716
112101,2,1,55,31,1,1,443
112101,2,1,56,29,-1,1,219
112101,2,1,57,32,-1,-1,315
112101,2,1,58,17,-1,-1,291
112101,2,1,59,25,1,1,378
112101,2,1,60,27,-1,1,555
112101,2,1,61,34,1,-1,508
112101,2,1,62,13,-1,-1,468
112101,2,1,63,53,1,1,571
112101,2,1,64,32,-1,-1,339
112101,2,1,65,32,1,-1,475
112101,2,1,66,40,1,1,522
112101,2,1,67,39,-1,1,571
112101,2,1,68,33,1,-1,420
112101,2,1,69,54,1,-1,355
112101,2,1,70,11,-1,-1,419
112101,2,1,71,43,1,1,379
112101,2,1,72,29,-1,1,732
112101,2,1,73,16,-1,1,347
112101,2,1,74,38,1,-1,523
112101,2,1,75,27,-1,1,308
112101,2,1,76,47,1,-1,579
112101,2,1,77,25,-1,-1,538
112101,2,1,78,10,-1,-1,514
112101,2,1,79,34,-1,1,531
112101,2,1,80,39,1,-1,658
112101,2,1,81,24,1,-1,331
112101,2,1,82,9,-1,-1,388
112101,2,1,83,36,-1,-1,594
112101,2,1,84,22,-1,-1,491
112101,2,1,85,45,-1,1,290
112101,2,1,86,19,-1,-1,369
112101,2,1,87,35,-1,-1,890
112101,2,1,88,40,1,-1,579
112101,2,1,89,38,-1,1,419
112101,2,1,90,33,-1,1,531
112101,2,1,91,24,-1,1,427
112101,2,1,92,35,1,-1,282
112101,2,1,93,31,1,1,355
112101,2,1,94,35,1,1,481
112101,2,1,95,27,-1,1,324
112101,2,1,96,28,1,1,339
112101,2,1,97,42,-1,-1,300
112101,2,1,98,20,-1,-1,307
112101,2,1,99,18,-1,1,507
112101,2,1,100,18,-1,-1,649
112101,2,1,101,22,1,-1,475
112101,2,1,102,25,-1,1,428
112101,2,1,103,38,-1,-1,370
112101,2,1,104,39,1,1,330
112101,2,1,105,30,-1,-1,339
112101,2,1,106,16,1,-1,668
112101,2,1,107,20,1,1,434
112101,2,1,108,29,1,1,451
112101,2,1,109,35,-1,-1,436
112101,2,1,110,14,-1,1,355
112101,2,1,111,37,-1,1,251
112101,2,1,112,29,-1,-1,236
112101,2,1,113,33,-1,-1,307
112101,2,1,114,45,1,-1,475
112101,2,1,115,15,1,-1,274
112101,2,1,116,14,1,1,274
112101,2,1,117,28,-1,-1,379
112101,2,1,118,41,1,-1,259
112101,2,1,119,43,-1,-1,307
112101,2,1,120,22,1,1,299
112101,2,1,121,17,1,1,355
112101,2,1,122,15,-1,1,282
112101,2,1,123,31,-1,-1,379
112101,2,1,124,46,1,-1,244
112101,2,1,125,31,1,1,267
112101,2,1,126,55,1,1,292
112101,2,1,127,48,1,1,323
112101,2,1,128,21,1,1,451
112101,2,1,129,20,-1,-1,339
112101,2,1,130,21,-1,1,290
112101,2,1,131,29,1,-1,259
112101,2,1,132,17,-1,-1,459
112101,2,1,133,33,1,1,242
112101,2,1,134,25,-1,1,258
112101,2,1,135,51,1,-1,258
112101,2,1,136,34,-1,1,227
112101,2,1,137,36,1,-1,242
112101,2,1,138,22,-1,1,275
112101,2,1,139,31,-1,-1,210
112101,2,1,140,22,-1,1,114
112101,2,1,141,16,-1,1,267
112101,2,1,142,44,1,1,283
112101,2,1,143,12,-1,1,530
112101,2,1,144,25,1,-1,308
112101,2,1,145,29,1,-1,282
112101,2,1,146,42,1,1,251
112101,2,1,147,30,1,1,346
112101,2,1,148,28,1,-1,194
112101,2,1,149,26,1,1,266
112101,2,1,150,39,1,1,443
112101,2,1,151,24,1,1,332
112101,2,1,152,30,-1,-1,460
112101,2,1,153,30,-1,1,555
112101,2,1,154,8,-1,-1,282
112101,2,1,155,44,-1,-1,187
112101,2,1,156,36,1,-1,259
112101,2,1,157,44,1,1,298
112101,2,1,158,30,1,-1,218
112101,2,1,159,38,1,1,459
112101,2,1,160,36,1,1,235
112101,3,1,1,36,1,1,369
112101,3,1,2,22,1,1,536
112101,3,1,3,47,1,-1,387
112101,3,1,4,18,1,1,618
112101,3,1,5,32,-1,1,547
112101,3,1,6,28,-1,-1,300
112101,3,1,7,20,1,1,516
112101,3,1,8,26,-1,-1,562
112101,3,1,9,26,-1,-1,499
112101,3,1,10,9,-1,-1,468
112101,3,1,11,53,1,1,411
112101,3,1,12,27,1,-1,435
112101,3,1,13,25,1,1,283
112101,3,1,14,23,-1,1,500
112101,3,1,15,32,1,-1,331
112101,3,1,16,16,-1,1,234
112101,3,1,17,22,-1,1,267
112101,3,1,18,8,-1,-1,243
112101,3,1,19,47,1,1,290
112101,3,1,20,41,1,1,492
112101,3,1,21,14,-1,1,316
112101,3,1,22,46,1,-1,323
112101,3,1,23,54,1,1,283
112101,3,1,24,30,-1,1,266
112101,3,1,25,45,-1,-1,323
112101,3,1,26,17,-1,-1,339
112101,3,1,27,15,-1,1,273
112101,3,1,28,42,-1,1,275
112101,3,1,29,31,-1,-1,339
112101,3,1,30,26,1,1,234
112101,3,1,31,20,-1,1,244
112101,3,1,32,38,-1,-1,346
112101,3,1,33,17,-1,1,321
112101,3,1,34,30,1,1,325
112101,3,1,35,21,-1,-1,86
112101,3,1,36,26,-1,1,204
112101,3,1,37,6,-1,-1,226
112101,3,1,38,25,1,-1,275
112101,3,1,39,24,-1,1,212
112101,3,1,40,34,1,1,459
112101,3,1,41,32,-1,1,323
112101,3,1,42,29,1,-1,259
112101,3,1,43,18,-1,1,443
112101,3,1,44,42,1,-1,266
112101,3,1,45,29,1,1,353
112101,3,1,46,29,-1,1,252
112101,3,1,47,26,1,1,300
112101,3,1,48,24,-1,1,307
112101,3,1,49,37,-1,-1,316
112101,3,1,50,49,1,1,380
112101,3,1,51,21,1,1,364
112101,3,1,52,33,1,1,299
112101,3,1,53,31,1,-1,250
112101,3,1,54,23,-1,-1,435
112101,3,1,55,18,-1,1,611
112101,3,1,56,55,1,-1,627
112101,3,1,57,27,-1,1,435
112101,3,1,58,28,-1,-1,315
112101,3,1,59,44,-1,1,257
112101,3,1,60,25,-1,-1,404
112101,3,1,61,46,-1,1,371
112101,3,1,62,21,-1,1,580
112101,3,1,63,34,1,-1,275
112101,3,1,64,36,1,1,323
112101,3,1,65,32,-1,1,498
