gamma,forget_rate,noise_mu,noise_sigma,choice_parameter,ll_mean,ll_sd
0.5,0.0000000001,0.0,0.1,1.0,-1986.2175873,302.0518897
0.5,0.0000000001,0.0,0.1,2.0,-1953.3816844,255.7698097
0.5,0.0000000001,0.0,0.5,1.0,-1974.0519194,317.7966156
0.5,0.0000000001,0.0,0.5,2.0,-2065.9430142,300.2361765
0.5,0.0000000056,0.0,0.1,1.0,-1892.8715614,117.0920445
0.5,0.0000000056,0.0,0.1,2.0,-1874.1216367,108.8775116
0.5,0.0000000056,0.0,0.5,1.0,-2099.0581129,419.1683534
0.5,0.0000000056,0.0,0.5,2.0,-2111.9377979,373.9691576
0.5,0.0000003162,0.0,0.1,1.0,-1849.1772845,57.4172875
0.5,0.0000003162,0.0,0.1,2.0,-1974.5060832,170.2831867
0.5,0.0000003162,0.0,0.5,1.0,-2948.3776536,3090.2052664
0.5,0.0000003162,0.0,0.5,2.0,-2119.1813806,389.4628170
0.5,0.0000177828,0.0,0.1,1.0,-2005.8003351,318.9699764
0.5,0.0000177828,0.0,0.1,2.0,-1950.8392695,322.9756031
0.5,0.0000177828,0.0,0.5,1.0,-3104.0519514,3580.8993183
0.5,0.0000177828,0.0,0.5,2.0,-1900.2764857,124.7202202
0.5,0.0010000000,0.0,0.1,1.0,-2004.1204148,332.8866256
0.5,0.0010000000,0.0,0.1,2.0,-2028.9927016,203.5522291
0.5,0.0010000000,0.0,0.5,1.0,-1953.1371408,307.0434796
0.5,0.0010000000,0.0,0.5,2.0,-2115.9179522,416.9079179
1.0,0.0000000001,0.0,0.1,1.0,-2593.8135563,481.3489214
1.0,0.0000000001,0.0,0.1,2.0,-3175.9582366,897.0580406
1.0,0.0000000001,0.0,0.5,1.0,-4434.6927299,6035.8967037
1.0,0.0000000001,0.0,0.5,2.0,-2665.0862844,605.0455283
1.0,0.0000000056,0.0,0.1,1.0,-2761.9458212,876.7217794
1.0,0.0000000056,0.0,0.1,2.0,-2954.8810896,867.8410738
1.0,0.0000000056,0.0,0.5,1.0,-4036.1750466,5126.6254614
1.0,0.0000000056,0.0,0.5,2.0,-6183.3512246,11062.6608302
1.0,0.0000003162,0.0,0.1,1.0,-2502.0208388,485.7913810
1.0,0.0000003162,0.0,0.1,2.0,-2469.9804917,422.8655704
1.0,0.0000003162,0.0,0.5,1.0,-4440.7932760,6142.3515331
1.0,0.0000003162,0.0,0.5,2.0,-2430.3111903,367.1240128
1.0,0.0000177828,0.0,0.1,1.0,-2516.7877919,480.1479754
1.0,0.0000177828,0.0,0.1,2.0,-2793.5142782,957.4510416
1.0,0.0000177828,0.0,0.5,1.0,-2711.8704571,793.3948466
1.0,0.0000177828,0.0,0.5,2.0,-2440.1247601,409.1543015
1.0,0.0010000000,0.0,0.1,1.0,-3395.2781320,1172.4688746
1.0,0.0010000000,0.0,0.1,2.0,-2736.1815673,855.2336922
1.0,0.0010000000,0.0,0.5,1.0,-2366.3391153,260.6286303
1.0,0.0010000000,0.0,0.5,2.0,-2736.1655679,614.0315814
2.0,0.0000000001,0.0,0.1,1.0,-5021.4807235,2530.8410900
2.0,0.0000000001,0.0,0.1,2.0,-5915.7569327,1946.6239132
2.0,0.0000000001,0.0,0.5,1.0,-8988.0005003,12498.4511743
2.0,0.0000000001,0.0,0.5,2.0,-4645.6219566,1862.3505467
2.0,0.0000000056,0.0,0.1,1.0,-4060.9698228,1063.1233544
2.0,0.0000000056,0.0,0.1,2.0,-5887.4758295,2738.9370260
2.0,0.0000000056,0.0,0.5,1.0,-4415.6237917,2189.0535815
2.0,0.0000000056,0.0,0.5,2.0,-4859.4599726,1371.7836559
2.0,0.0000003162,0.0,0.1,1.0,-3895.9832839,865.4121015
2.0,0.0000003162,0.0,0.1,2.0,-4805.9667477,1785.9541048
2.0,0.0000003162,0.0,0.5,1.0,-3651.3463140,717.0766925
2.0,0.0000003162,0.0,0.5,2.0,-11970.4372830,24167.6326420
2.0,0.0000177828,0.0,0.1,1.0,-6029.8219431,2524.0859959
2.0,0.0000177828,0.0,0.1,2.0,-4491.1314916,1042.9478804
2.0,0.0000177828,0.0,0.5,1.0,-4404.5604869,1211.0125056
2.0,0.0000177828,0.0,0.5,2.0,-4138.7145693,1073.5464777
2.0,0.0010000000,0.0,0.1,1.0,-4340.1855082,1162.5100565
2.0,0.0010000000,0.0,0.1,2.0,-4665.4787585,1738.2534618
2.0,0.0010000000,0.0,0.5,1.0,-4960.8846097,3553.6170645
2.0,0.0010000000,0.0,0.5,2.0,-4215.3841817,1361.8452435
