subj	variance	catAss	ticks	feedType	feedAmount	phase	trial	length	tarCat	respSE	respRT	respACC	move
1121102	1	1	2	1	1	1	1	45	D	A	1009	0	15
1121102	1	1	2	1	1	1	2	39	D	D	741	1	15
1121102	1	1	2	1	1	1	3	33	D	D	811	1	15
1121102	1	1	2	1	1	1	4	37	A	D	491	0	15
1121102	1	1	2	1	1	1	5	13	A	A	235	1	15
1121102	1	1	2	1	1	1	6	27	A	A	844	1	15
1121102	1	1	2	1	1	1	7	40	D	D	651	1	15
1121102	1	1	2	1	1	1	8	28	A	A	443	1	15
1121102	1	1	2	1	1	1	9	44	D	D	484	1	15
1121102	1	1	2	1	1	1	10	38	D	D	667	1	15
1121102	1	1	2	1	1	1	11	32	A	A	539	1	15
1121102	1	1	2	1	1	1	12	23	D	A	947	0	15
1121102	1	1	2	1	1	1	13	30	A	A	323	1	15
1121102	1	1	2	1	1	1	14	39	D	D	627	1	15
1121102	1	1	2	1	1	1	15	45	D	D	611	1	15
1121102	1	1	2	1	1	1	16	28	D	A	500	0	15
1121102	1	1	2	1	1	1	17	23	A	A	723	1	15
1121102	1	1	2	1	1	1	18	30	D	A	459	0	15
1121102	1	1	2	1	1	1	19	29	A	D	724	0	15
1121102	1	1	2	1	1	1	20	49	D	D	1044	1	15
1121102	1	1	2	1	1	1	21	28	A	A	419	1	15
1121102	1	1	2	1	1	1	22	7	A	A	852	1	15
1121102	1	1	2	1	1	1	23	26	A	D	828	0	15
1121102	1	1	2	1	1	1	24	40	A	A	418	1	15
1121102	1	1	2	1	1	1	25	27	A	D	500	0	15
1121102	1	1	2	1	1	1	26	30	A	A	275	1	15
1121102	1	1	2	1	1	1	27	43	A	A	212	1	15
1121102	1	1	2	1	1	1	28	26	A	A	155	1	15
1121102	1	1	2	1	1	1	29	35	A	A	412	1	15
1121102	1	1	2	1	1	1	30	31	D	A	59	0	15
1121102	1	1	2	1	1	1	31	22	D	D	348	1	15
1121102	1	1	2	1	1	1	32	15	D	D	403	1	15
1121102	1	1	2	1	1	1	33	36	A	D	204	0	15
1121102	1	1	2	1	1	1	34	25	D	A	204	0	15
1121102	1	1	2	1	1	1	35	19	D	A	508	0	15
1121102	1	1	2	1	1	1	36	29	D	D	292	1	15
1121102	1	1	2	1	1	1	37	15	A	D	443	0	15
1121102	1	1	2	1	1	1	38	20	D	A	284	0	15
1121102	1	1	2	1	1	1	39	34	A	D	500	0	15
1121102	1	1	2	1	1	1	40	32	A	A	227	1	15
1121102	1	1	2	1	1	1	41	31	D	A	723	0	15
1121102	1	1	2	1	1	1	42	17	A	A	883	1	15
