gamma,forget_rate,noise_mu,noise_sigma,choice_parameter,ll_mean,ll_sd
0.5,0.000000000000001,0.0,0.1,1.0,-4597.8345793,723.0496504
0.5,0.000000000000001,0.0,0.1,2.0,-4663.1737138,580.4354638
0.5,0.000000000000001,0.0,0.5,1.0,-4753.4731015,693.4586225
0.5,0.000000000000001,0.0,0.5,2.0,-4629.8037233,716.9455174
0.5,0.000000000000100,0.0,0.1,1.0,-4488.2516630,61.9191967
0.5,0.000000000000100,0.0,0.1,2.0,-4436.5096661,99.2705826
0.5,0.000000000000100,0.0,0.5,1.0,-6780.7610572,6011.0691920
0.5,0.000000000000100,0.0,0.5,2.0,-4948.7771622,762.4919880
0.5,0.000000000010000,0.0,0.1,1.0,-4697.9796096,626.9575451
0.5,0.000000000010000,0.0,0.1,2.0,-4650.8667860,453.4225146
0.5,0.000000000010000,0.0,0.5,1.0,-4369.4520016,210.1689176
0.5,0.000000000010000,0.0,0.5,2.0,-4505.1796351,164.2839655
0.5,0.000000001000000,0.0,0.1,1.0,-4834.0164679,927.6603557
0.5,0.000000001000000,0.0,0.1,2.0,-4922.9308885,795.7610975
0.5,0.000000001000000,0.0,0.5,1.0,-4508.3887796,707.8408559
0.5,0.000000001000000,0.0,0.5,2.0,-4412.2991375,199.1007519
0.5,0.000000100000000,0.0,0.1,1.0,-4173.5259250,412.8478003
0.5,0.000000100000000,0.0,0.1,2.0,-4360.8985714,254.7216574
0.5,0.000000100000000,0.0,0.5,1.0,-4534.7321096,116.7849790
0.5,0.000000100000000,0.0,0.5,2.0,-4398.1907017,287.0831617
1.0,0.000000000000001,0.0,0.1,1.0,-10871.0132680,16014.2088317
1.0,0.000000000000001,0.0,0.1,2.0,-6741.5815790,1347.2995688
1.0,0.000000000000001,0.0,0.5,1.0,-10134.0532512,10116.1085400
1.0,0.000000000000001,0.0,0.5,2.0,-15348.9626195,27364.9170872
1.0,0.000000000000100,0.0,0.1,1.0,-11771.3977300,15757.6069662
1.0,0.000000000000100,0.0,0.1,2.0,-6514.0892885,1891.7262865
1.0,0.000000000000100,0.0,0.5,1.0,-10854.6836824,12736.3112862
1.0,0.000000000000100,0.0,0.5,2.0,-6843.0646890,1296.5943726
1.0,0.000000000010000,0.0,0.1,1.0,-6713.2119474,1816.5909927
1.0,0.000000000010000,0.0,0.1,2.0,-6109.0734486,297.0652342
1.0,0.000000000010000,0.0,0.5,1.0,-11263.9014477,16888.0568702
1.0,0.000000000010000,0.0,0.5,2.0,-6470.8683071,765.8381044
1.0,0.000000001000000,0.0,0.1,1.0,-11696.0944908,15883.7290749
1.0,0.000000001000000,0.0,0.1,2.0,-6126.3785011,324.9225847
1.0,0.000000001000000,0.0,0.5,1.0,-7052.7023391,2416.3969183
1.0,0.000000001000000,0.0,0.5,2.0,-6177.5338026,321.5286995
1.0,0.000000100000000,0.0,0.1,1.0,-7296.3067432,2365.5865213
1.0,0.000000100000000,0.0,0.1,2.0,-6284.7068798,361.6247212
1.0,0.000000100000000,0.0,0.5,1.0,-6076.3627315,623.2308808
1.0,0.000000100000000,0.0,0.5,2.0,-16153.8886438,25180.5299461
2.0,0.000000000000001,0.0,0.1,1.0,-20875.0761897,32439.2538912
2.0,0.000000000000001,0.0,0.1,2.0,-30321.9531798,58225.8401856
2.0,0.000000000000001,0.0,0.5,1.0,-13128.2064678,5065.2931521
2.0,0.000000000000001,0.0,0.5,2.0,-11246.0998809,2517.9508732
2.0,0.000000000000100,0.0,0.1,1.0,-9800.8497315,1158.6858313
2.0,0.000000000000100,0.0,0.1,2.0,-13012.1063917,5797.9242808
2.0,0.000000000000100,0.0,0.5,1.0,-12202.2427106,5522.9265551
2.0,0.000000000000100,0.0,0.5,2.0,-26723.5698635,45679.2953736
2.0,0.000000000010000,0.0,0.1,1.0,-12257.4526806,3957.5092227
2.0,0.000000000010000,0.0,0.1,2.0,-12982.6900072,4762.1249900
2.0,0.000000000010000,0.0,0.5,1.0,-17104.0031568,23570.1364179
2.0,0.000000000010000,0.0,0.5,2.0,-12496.2986948,3822.3505532
2.0,0.000000001000000,0.0,0.1,1.0,-10889.9586272,3206.9209579
2.0,0.000000001000000,0.0,0.1,2.0,-10898.1261496,1360.9892599
2.0,0.000000001000000,0.0,0.5,1.0,-34966.4276304,61624.0159271
2.0,0.000000001000000,0.0,0.5,2.0,-10249.4909817,848.2388276
2.0,0.000000100000000,0.0,0.1,1.0,-10984.6965212,1410.0942398
2.0,0.000000100000000,0.0,0.1,2.0,-10956.7733012,1359.0498267
2.0,0.000000100000000,0.0,0.5,1.0,-18762.3301774,27018.4001795
2.0,0.000000100000000,0.0,0.5,2.0,-21962.8300209,36621.8599586
