gamma,forget_rate,noise_mu,noise_sigma,choice_parameter,ll_mean,ll_sd
0.5,0.000000000000001,0.0,0.1,1.0,-3769.6054365,335.4787789
0.5,0.000000000000001,0.0,0.1,2.0,-3897.7204701,482.9221933
0.5,0.000000000000001,0.0,0.5,1.0,-3816.5490955,408.6448753
0.5,0.000000000000001,0.0,0.5,2.0,-3706.6859437,389.3849920
0.5,0.000000000000100,0.0,0.1,1.0,-3590.7482940,302.8726074
0.5,0.000000000000100,0.0,0.1,2.0,-3618.9342570,296.2599071
0.5,0.000000000000100,0.0,0.5,1.0,-3801.8265776,649.7760045
0.5,0.000000000000100,0.0,0.5,2.0,-3648.8930998,518.7441884
0.5,0.000000000010000,0.0,0.1,1.0,-3565.6747973,273.6256258
0.5,0.000000000010000,0.0,0.1,2.0,-3828.7568620,552.3862905
0.5,0.000000000010000,0.0,0.5,1.0,-3774.6540757,295.1379640
0.5,0.000000000010000,0.0,0.5,2.0,-3751.9648204,428.0472069
0.5,0.000000001000000,0.0,0.1,1.0,-3730.5093945,381.8622187
0.5,0.000000001000000,0.0,0.1,2.0,-3851.7606111,415.7585176
0.5,0.000000001000000,0.0,0.5,1.0,-3777.7759671,392.0561004
0.5,0.000000001000000,0.0,0.5,2.0,-3846.5036054,517.1582332
0.5,0.000000100000000,0.0,0.1,1.0,-3761.2722617,360.3906368
0.5,0.000000100000000,0.0,0.1,2.0,-3671.5880602,236.2651813
0.5,0.000000100000000,0.0,0.5,1.0,-3608.9114801,428.0696131
0.5,0.000000100000000,0.0,0.5,2.0,-4333.7619825,1936.6297837
1.0,0.000000000000001,0.0,0.1,1.0,-4764.7121152,1138.5699475
1.0,0.000000000000001,0.0,0.1,2.0,-5196.9902918,1417.8893322
1.0,0.000000000000001,0.0,0.5,1.0,-4958.1414261,1288.3301298
1.0,0.000000000000001,0.0,0.5,2.0,-5084.5083873,1593.8750199
1.0,0.000000000000100,0.0,0.1,1.0,-4758.2485123,1039.8744692
1.0,0.000000000000100,0.0,0.1,2.0,-4068.4981611,1187.2918237
1.0,0.000000000000100,0.0,0.5,1.0,-5108.1310218,1662.4294843
1.0,0.000000000000100,0.0,0.5,2.0,-4637.4520552,816.8310030
1.0,0.000000000010000,0.0,0.1,1.0,-5436.8846679,1814.6067582
1.0,0.000000000010000,0.0,0.1,2.0,-5002.8086992,2084.1375915
1.0,0.000000000010000,0.0,0.5,1.0,-4442.9787658,1042.1508716
1.0,0.000000000010000,0.0,0.5,2.0,-4051.2091602,1190.7981848
1.0,0.000000001000000,0.0,0.1,1.0,-4224.8007464,1458.4961981
1.0,0.000000001000000,0.0,0.1,2.0,-4285.8674260,1214.6783197
1.0,0.000000001000000,0.0,0.5,1.0,-4900.9218092,1150.1557904
1.0,0.000000001000000,0.0,0.5,2.0,-3936.9611573,830.2542247
1.0,0.000000100000000,0.0,0.1,1.0,-5256.9769607,2130.1607461
1.0,0.000000100000000,0.0,0.1,2.0,-4122.4063000,992.0726777
1.0,0.000000100000000,0.0,0.5,1.0,-4647.5872207,1564.2629867
1.0,0.000000100000000,0.0,0.5,2.0,-4735.7096267,1292.5920420
2.0,0.000000000000001,0.0,0.1,1.0,-5994.7299985,2973.5331891
2.0,0.000000000000001,0.0,0.1,2.0,-6629.1131842,3839.0410012
2.0,0.000000000000001,0.0,0.5,1.0,-5389.8941454,2380.5741595
2.0,0.000000000000001,0.0,0.5,2.0,-8297.4093771,3819.9029979
2.0,0.000000000000100,0.0,0.1,1.0,-8911.9991937,3828.2455049
2.0,0.000000000000100,0.0,0.1,2.0,-9154.1640171,2979.5334946
2.0,0.000000000000100,0.0,0.5,1.0,-7101.0813538,3437.7763770
2.0,0.000000000000100,0.0,0.5,2.0,-6934.1835093,3384.6796594
2.0,0.000000000010000,0.0,0.1,1.0,-7250.9834233,4463.5078478
2.0,0.000000000010000,0.0,0.1,2.0,-6630.4140621,3282.2140636
2.0,0.000000000010000,0.0,0.5,1.0,-7137.8224279,3574.0624876
2.0,0.000000000010000,0.0,0.5,2.0,-7166.3030465,4353.4554359
2.0,0.000000001000000,0.0,0.1,1.0,-8338.4290631,4082.6319650
2.0,0.000000001000000,0.0,0.1,2.0,-6581.3553228,3372.4622586
2.0,0.000000001000000,0.0,0.5,1.0,-12515.2183858,11591.8247599
2.0,0.000000001000000,0.0,0.5,2.0,-7046.3144224,3906.9426858
2.0,0.000000100000000,0.0,0.1,1.0,-6697.3937927,3569.8262603
2.0,0.000000100000000,0.0,0.1,2.0,-10232.6128951,4231.5711222
2.0,0.000000100000000,0.0,0.5,1.0,-6159.4194893,2895.2517954
2.0,0.000000100000000,0.0,0.5,2.0,-6839.9451667,2812.2834387
