gamma,forget_rate,noise_mu,noise_sigma,choice_parameter,ll_mean,ll_sd
0.5,0.0000000001,0.0,0.1,1.0,-3769.6054365,335.4787789
0.5,0.0000000001,0.0,0.1,2.0,-3897.7204701,482.9221933
0.5,0.0000000001,0.0,0.5,1.0,-3816.5490955,408.6448753
0.5,0.0000000001,0.0,0.5,2.0,-3706.6859437,389.3849920
0.5,0.0000000056,0.0,0.1,1.0,-3590.7482940,302.8726074
0.5,0.0000000056,0.0,0.1,2.0,-3620.7849456,294.9504877
0.5,0.0000000056,0.0,0.5,1.0,-3857.6726652,619.5471683
0.5,0.0000000056,0.0,0.5,2.0,-3805.3839853,720.5215466
0.5,0.0000003162,0.0,0.1,1.0,-3754.8123469,390.9088273
0.5,0.0000003162,0.0,0.1,2.0,-3695.7079338,328.1945868
0.5,0.0000003162,0.0,0.5,1.0,-3814.8650321,982.0182084
0.5,0.0000003162,0.0,0.5,2.0,-4232.0493163,1131.9798293
0.5,0.0000177828,0.0,0.1,1.0,-3461.9925497,190.1410182
0.5,0.0000177828,0.0,0.1,2.0,-3576.6414086,264.8551386
0.5,0.0000177828,0.0,0.5,1.0,-3854.4780488,474.2932339
0.5,0.0000177828,0.0,0.5,2.0,-5449.6542079,4637.9699954
0.5,0.0010000000,0.0,0.1,1.0,-3749.0288004,300.9456392
0.5,0.0010000000,0.0,0.1,2.0,-3580.6298643,288.3490436
0.5,0.0010000000,0.0,0.5,1.0,-Inf,NaN
0.5,0.0010000000,0.0,0.5,2.0,-3486.9779839,259.3722058
1.0,0.0000000001,0.0,0.1,1.0,-4858.3654216,1324.1340469
1.0,0.0000000001,0.0,0.1,2.0,-4884.1801023,1290.2227180
1.0,0.0000000001,0.0,0.5,1.0,-3736.8959870,702.1083721
1.0,0.0000000001,0.0,0.5,2.0,-5124.8443087,1294.7334514
1.0,0.0000000056,0.0,0.1,1.0,-5469.2999478,1506.7222292
1.0,0.0000000056,0.0,0.1,2.0,-4654.9871414,1155.1986523
1.0,0.0000000056,0.0,0.5,1.0,-5631.8142618,4360.5051650
1.0,0.0000000056,0.0,0.5,2.0,-4852.8401121,1348.1734405
1.0,0.0000003162,0.0,0.1,1.0,-4625.6306768,1142.3291442
1.0,0.0000003162,0.0,0.1,2.0,-5060.6149002,1557.0344216
1.0,0.0000003162,0.0,0.5,1.0,-4514.9177879,1071.6381173
1.0,0.0000003162,0.0,0.5,2.0,-5085.7317360,852.2662754
1.0,0.0000177828,0.0,0.1,1.0,-4493.6941964,1035.9757722
1.0,0.0000177828,0.0,0.1,2.0,-4881.8438237,2057.3788969
1.0,0.0000177828,0.0,0.5,1.0,-5697.7781299,4563.6543505
1.0,0.0000177828,0.0,0.5,2.0,-5192.3697368,1658.3109019
1.0,0.0010000000,0.0,0.1,1.0,-Inf,NaN
1.0,0.0010000000,0.0,0.1,2.0,-4507.6390661,1123.8128673
1.0,0.0010000000,0.0,0.5,1.0,-Inf,NaN
1.0,0.0010000000,0.0,0.5,2.0,-4532.6401339,1129.7597503
2.0,0.0000000001,0.0,0.1,1.0,-8487.3436395,3702.4941343
2.0,0.0000000001,0.0,0.1,2.0,-8107.7388982,3854.5413666
2.0,0.0000000001,0.0,0.5,1.0,-6825.1264565,3720.0829428
2.0,0.0000000001,0.0,0.5,2.0,-9440.8389040,3864.1190621
2.0,0.0000000056,0.0,0.1,1.0,-7491.6786400,3842.2675732
2.0,0.0000000056,0.0,0.1,2.0,-7883.3749757,4040.1602082
2.0,0.0000000056,0.0,0.5,1.0,-7987.6922785,4992.6998624
2.0,0.0000000056,0.0,0.5,2.0,-7355.6459400,2933.3898296
2.0,0.0000003162,0.0,0.1,1.0,-7651.3462032,5262.4878473
2.0,0.0000003162,0.0,0.1,2.0,-6253.1167844,4103.3927875
2.0,0.0000003162,0.0,0.5,1.0,-9974.6306075,4800.4207591
2.0,0.0000003162,0.0,0.5,2.0,-10925.0743250,7012.3857069
2.0,0.0000177828,0.0,0.1,1.0,-6332.7174858,3252.2027262
2.0,0.0000177828,0.0,0.1,2.0,-6363.3380009,4345.5826862
2.0,0.0000177828,0.0,0.5,1.0,-13650.8797385,21520.8129244
2.0,0.0000177828,0.0,0.5,2.0,-8003.4414519,4244.0963991
2.0,0.0010000000,0.0,0.1,1.0,-Inf,NaN
2.0,0.0010000000,0.0,0.1,2.0,-7441.1634871,3575.4384620
2.0,0.0010000000,0.0,0.5,1.0,-Inf,NaN
2.0,0.0010000000,0.0,0.5,2.0,-5794.0915831,2587.7578512
